Etiquetas de fila,NOMBRE DE PRODUCTO,Semiterminado,Descripción Semi,ABC anterior,Mínimo Producción,Inventario Semiterminado,ABC,MTO/ MTS,Relación latas a cajas, Marzo , Abril , Mayo , Junio , Julio , Agosto , Septiembre , Octubre , Noviembre , Diciembre , Enero , Febrero , Marzo , Abril 
200003,JALAPEÑO ESCABEC SM 24/215 G,100001,Bote jalapeños 215,A," 216,000 "," 3,100,730 ",A,MTS,24," 17,358 "," 13,440 "," 16,768 "," 22,973 "," 23,200 "," 23,085 "," 23,526 "," 25,871 "," 22,706 "," 26,465 "," 22,387 "," 16,329 "," 17,358 "," 13,440 "
200012,JALAPEÑOS ENTEROS ELMIGO 215G HNPI,100001,Bote jalapeños 215,A," 216,000 "," 3,100,730 ",B,MTO,24," 5,880 "," 2,983 "," 3,920 "," 3,920 "," 3,920 "," 3,920 "," 3,920 "," 3,920 "," 3,920 "," 3,920 ", -   ," 6,000 "," 5,880 "," 2,983 "
200053,JALAPEÑO ENTERO MLHR 24/215G,100001,Bote jalapeños 215,A," 216,000 "," 3,100,730 ",SIN DEMANDA,MTS,24, -   , -   , -   , -   , -   , -   , 200 , 200 , 200 , 200 , 200 , -   , -   , -   
200076,WHOLE JALAPEÑO PEPPERS INGLES 24/7 OZ,100001,Bote jalapeños 215,A," 216,000 "," 3,100,730 ",B,MTO,24, 560 , 560 , 700 , 840 , 840 , 700 , 700 , 560 , 560 , 560 , 560 , 980 , 140 , 560 
200078,WHOLE JALAPEÑO PEPPERS CALIFORNIA 24/7OZ,100001,Bote jalapeños 215,A," 216,000 "," 3,100,730 ",C,MTO,24, 140 , 164 , 140 , 140 , 140 , 140 , 140 , -   , -   , -   , -   , 160 , 140 , 140 
200004,JALAPEÑO ESCABEC SM 6/2.8 KG,100003,Bote jalapeños 2800,A," 38,400 "," 818,446 ",A,MTS,6," 11,373 "," 13,044 "," 11,594 "," 15,205 "," 15,205 "," 14,235 "," 19,830 "," 18,857 "," 18,224 "," 21,439 "," 15,369 "," 16,046 "," 11,373 "," 13,044 "
200017,WHOLE JALAP PEPPERS INGLES 6/6LB 1 OZ,100003,Bote jalapeños 2800,A," 38,400 "," 818,446 ",A,MTS,6," 3,936 "," 4,128 "," 2,784 "," 4,224 "," 4,656 "," 6,288 "," 4,992 "," 2,104 "," 3,654 "," 3,500 "," 3,183 "," 3,648 "," 3,936 "," 4,128 "
200021,WHOLE JALAP PEPPERS CALIFORNIA 6/6LB OZ,100003,Bote jalapeños 2800,A," 38,400 "," 818,446 ",A,MTO,6," 2,928 "," 2,832 "," 2,160 "," 1,104 ", 912 , 864 , 912 ," 3,504 ", 960 , -   ," 3,072 "," 1,968 "," 2,928 "," 2,832 "
200046,JALAPEÑO ENTERO BONAMARK 6/2800G,100003,Bote jalapeños 2800,A," 38,400 "," 818,446 ",B,MTO,6, 900 , 552 , 535 , 535 , 589 ," 1,498 "," 1,498 "," 1,498 "," 1,498 "," 1,498 "," 1,498 ", 760 , 900 , 552 
200025,JALAPENO EN TROZO MLHR 24/215G CAML,100005,Bote Jalapeño en trozo BS 215,B," 136,320 "," 108,729 ",A,MTO,24," 1,975 "," 3,950 "," 3,950 "," 1,975 "," 1,975 "," 3,950 "," 3,950 "," 1,975 "," 1,975 "," 1,975 "," 1,975 "," 4,500 "," 1,975 "," 3,950 "
200027,JALAPEÑO EN TROZO SM 24/215 G HNMC,100008,Bote jalapeños en trozos 215,B," 136,320 "," 434,890 ",C,MTO,24, -   , -   ," 1,820 ", -   , -   ," 1,820 ", -   , -   ," 1,820 ", -   , -   , -   , -   , -   
200028,JALAPEÑOS PICADOS ELMIGO 215G HNPI,100008,Bote jalapeños en trozos 215,B," 136,320 "," 434,890 ",B,MTO,24," 1,680 ", 383 ," 1,120 "," 1,120 "," 1,120 ", 383 , 838 , 838 , 838 , 838 , -   , 767 ," 1,680 ", 383 
200029,JALAPEÑO DICED 24/7 OZ,100008,Bote jalapeños en trozos 215,B," 136,320 "," 434,890 ",C,MTO,24," 1,400 "," 1,308 "," 1,400 ", 280 , 280 , 140 , 140 , 280 , 140 , 140 , 700 , 980 ," 1,540 "," 1,400 "
200056,JALAPEÑO EN TROZO SM 24/215 G,100008,Bote jalapeños en trozos 215,B," 136,320 "," 434,890 ",B,MTS,24," 1,465 "," 2,680 "," 1,320 "," 1,777 "," 1,587 "," 1,714 "," 1,904 "," 1,725 "," 1,616 "," 2,322 "," 1,676 ", 420 ," 1,465 "," 2,680 "
200065,JALAPEÑO DICED CALIFORNIA 24/7 OZ,100008,Bote jalapeños en trozos 215,B," 136,320 "," 434,890 ",C,MTO,24, 280 , 246 , 280 , -   , -   , -   , -   , -   , -   , 420 , 420 , 280 , 280 , 280 
200070,JALAPEÑO EN TROZO SM 24/215 G ESVE,100008,Bote jalapeños en trozos 215,B," 136,320 "," 434,890 ",C,MTO,24, -   , -   , -   , 410 , -   , 327 , 400 , -   , -   , 324 , -   , -   , -   , -   
200009,JALAPEÑO ESCABEC SM 24/380 G,100010,Bote jalapeños 380,A," 121,920 "," 2,312,475 ",A,MTS,24," 7,737 "," 7,768 "," 7,135 "," 8,395 "," 8,086 "," 7,286 "," 8,247 "," 9,940 "," 8,961 "," 9,981 "," 8,109 "," 6,846 "," 7,737 "," 7,768 "
200020,WHOLE JALAP PEPPERS INGLES 12/11 OZ,100010,Bote jalapeños 380,A," 121,920 "," 2,312,475 ",A,MTS,24," 2,856 "," 4,005 "," 3,024 "," 3,024 "," 2,856 "," 2,688 "," 2,520 "," 4,536 "," 5,544 "," 4,536 "," 1,344 "," 2,184 "," 3,024 "," 2,688 "
200052,WHOLE JALAP PEPPERS CALIFORNIA 12/11 OZ,100010,Bote jalapeños 380,A," 121,920 "," 2,312,475 ",B,MTO,24, 672 ," 1,701 "," 1,344 ", 336 , 336 , 336 , 336 ," 1,680 ", 504 ," 1,008 ", -   , -   , 504 , 672 
200063,JALAPEÑO ENTERO OXXO BARA 24/360G,100010,Bote jalapeños 380,A," 121,920 "," 2,312,475 ",C,MTS,24, 301 , 364 , 352 , 352 , 638 , 500 , 575 , 542 , 449 , 533 , 709 , 340 , 301 , 364 
200069,JALAPEÑO ESCAB CLEY 24/380 G,100010,Bote jalapeños 380,A," 121,920 "," 2,312,475 ",C,MTS,24, 400 , 363 , 280 , 401 , 401 , 395 , 468 , 425 , 481 , 484 , 507 , 200 , 400 , 363 
200082,JALAPEÑO ENTERO GOLDEN HILLS 24/380G,100010,Bote jalapeños 380,A," 121,920 "," 2,312,475 ",C,MTO,24, 54 , 58 , 58 , 70 , 70 , 166 , 163 , -   , -   , 103 , 96 , 78 , 54 , 58 
